filename,type,original_size(byte),algorithm,time_cost(s),compressed_size(byte),ratio
254.txt,text,1805,huffman,0.00011205673217773438,1266,0.7013850415512466
255.txt,text,1120,huffman,7.390975952148438e-05,780,0.6964285714285714
256.txt,text,1241,huffman,8.916854858398438e-05,911,0.734085414987913
257.txt,text,2554,huffman,0.00011277198791503906,1658,0.6491777603758809
258.txt,text,2600,huffman,0.00011205673217773438,1669,0.6419230769230769
259.txt,text,1435,huffman,0.00010156631469726562,1054,0.7344947735191638
260.txt,text,2984,huffman,0.00014972686767578125,1949,0.6531501340482574
261.txt,text,4613,huffman,0.0001552104949951172,2797,0.606329937134186
262.txt,text,3430,huffman,0.00014090538024902344,2228,0.6495626822157434
263.txt,text,2031,huffman,0.00010156631469726562,1358,0.6686361398325947
264.txt,text,2453,huffman,0.00010585784912109375,1580,0.6441092539747248
265.txt,text,1841,huffman,8.368492126464844e-05,1195,0.6491037479630636
266.txt,text,4437,huffman,0.0001647472381591797,2706,0.6098715348208249
267.txt,text,1174,huffman,7.843971252441406e-05,846,0.7206132879045997
268.txt,text,4616,huffman,0.00016355514526367188,2810,0.6087521663778163
269.txt,text,2535,huffman,0.0001308917999267578,1692,0.6674556213017752
270.txt,text,2860,huffman,0.0001304149627685547,1886,0.6594405594405595
271.txt,text,2717,huffman,0.00012755393981933594,1748,0.6433566433566433
272.txt,text,2358,huffman,0.00010418891906738281,1529,0.6484308736217134
273.txt,text,2857,huffman,0.00015020370483398438,1848,0.6468323416170808
274.txt,text,1608,huffman,8.7738037109375e-05,1078,0.6703980099502488
275.txt,text,1822,huffman,0.00011324882507324219,1276,0.7003293084522503
276.txt,text,1034,huffman,8.058547973632812e-05,773,0.7475822050290135
277.txt,text,5208,huffman,0.00018525123596191406,3222,0.618663594470046
278.txt,text,1162,huffman,8.368492126464844e-05,876,0.7538726333907056
279.txt,text,2519,huffman,0.00012564659118652344,1661,0.6593886462882096
280.txt,text,1048,huffman,8.726119995117188e-05,800,0.7633587786259542
281.txt,text,1183,huffman,0.00010919570922851562,891,0.7531699070160609
282.txt,text,1953,huffman,0.0001246929168701172,1347,0.6897081413210445
283.txt,text,994,huffman,7.295608520507812e-05,736,0.7404426559356136
284.txt,text,4492,huffman,0.00016188621520996094,2768,0.616206589492431
285.txt,text,1514,huffman,7.963180541992188e-05,1026,0.6776750330250991
286.txt,text,2143,huffman,0.00012087821960449219,1429,0.6668222118525432
287.txt,text,5357,huffman,0.00018405914306640625,3298,0.6156430838155684
288.txt,text,1419,huffman,0.00010824203491210938,1073,0.7561663143058492
289.txt,text,1986,huffman,0.00010275840759277344,1328,0.6686807653575025
290.txt,text,3129,huffman,0.0001468658447265625,1975,0.6311920741450943
291.txt,text,2684,huffman,0.00011801719665527344,1747,0.6508941877794336
292.txt,text,2196,huffman,0.00010704994201660156,1447,0.6589253187613844
293.txt,text,2259,huffman,0.00010967254638671875,1491,0.6600265604249668
294.txt,text,3014,huffman,0.00015807151794433594,1948,0.6463171864631718
295.txt,text,1931,huffman,0.00010061264038085938,1303,0.6747799067840498
296.txt,text,3114,huffman,0.00011920928955078125,1951,0.6265253692999357
297.txt,text,1609,huffman,0.00010323524475097656,1150,0.7147296457426974
298.txt,text,1597,huffman,9.393692016601562e-05,1094,0.6850344395742016
299.txt,text,2935,huffman,0.0001277923583984375,1888,0.6432708688245315
300.txt,text,1168,huffman,7.939338684082031e-05,839,0.7183219178082192
301.txt,text,1071,huffman,8.225440979003906e-05,786,0.7338935574229691
302.txt,text,1334,huffman,9.5367431640625e-05,983,0.7368815592203898
303.txt,text,1979,huffman,0.00011324882507324219,1343,0.6786255684689237
304.txt,text,1649,huffman,0.000102996826171875,1137,0.6895087932080048
305.txt,text,1492,huffman,8.177757263183594e-05,1023,0.685656836461126
306.txt,text,1195,huffman,8.225440979003906e-05,864,0.7230125523012553
307.txt,text,2626,huffman,0.00013709068298339844,1743,0.6637471439451638
308.txt,text,1898,huffman,0.00012087821960449219,1334,0.702845100105374
309.txt,text,1387,huffman,8.606910705566406e-05,979,0.7058399423215573
310.txt,text,1394,huffman,0.00011134147644042969,1031,0.7395982783357246
311.txt,text,1291,huffman,8.177757263183594e-05,930,0.7203718048024786
312.txt,text,1689,huffman,9.34600830078125e-05,1138,0.6737714624037893
313.txt,text,1550,huffman,9.894371032714844e-05,1097,0.707741935483871
314.txt,text,4464,huffman,0.00016570091247558594,2788,0.6245519713261649
315.txt,text,1633,huffman,0.0001068115234375,1183,0.7244335578689528
316.txt,text,2128,huffman,0.00011968612670898438,1442,0.6776315789473685
317.txt,text,2188,huffman,0.0001385211944580078,1458,0.6663619744058501
318.txt,text,2484,huffman,0.0001289844512939453,1664,0.6698872785829307
319.txt,text,1915,huffman,0.00010657310485839844,1310,0.6840731070496083
320.txt,text,1651,huffman,9.512901306152344e-05,1146,0.6941247728649304
321.txt,text,915,huffman,9.322166442871094e-05,756,0.8262295081967214
322.txt,text,893,huffman,8.273124694824219e-05,691,0.7737961926091825
323.txt,text,2731,huffman,0.0001366138458251953,1822,0.6671548883192969
324.txt,text,2437,huffman,0.00012159347534179688,1615,0.6627000410340582
325.txt,text,1657,huffman,0.00010251998901367188,1153,0.695835847917924
326.txt,text,2467,huffman,0.00012063980102539062,1612,0.6534252128090798
327.txt,text,1853,huffman,0.00010895729064941406,1258,0.6788990825688074
328.txt,text,1303,huffman,8.702278137207031e-05,919,0.7052954719877207
329.txt,text,1990,huffman,0.00011086463928222656,1347,0.6768844221105528
330.txt,text,5217,huffman,0.0001735687255859375,3138,0.60149511213341
331.txt,text,1759,huffman,0.00010395050048828125,1221,0.694144400227402
332.txt,text,3391,huffman,0.0001373291015625,2179,0.6425833087584784
333.txt,text,1841,huffman,8.487701416015625e-05,1195,0.6491037479630636
334.txt,text,1595,huffman,0.00010347366333007812,1118,0.7009404388714734
335.txt,text,1585,huffman,8.988380432128906e-05,1092,0.6889589905362776
336.txt,text,2376,huffman,0.00011467933654785156,1549,0.6519360269360269
337.txt,text,2119,huffman,0.00010704994201660156,1401,0.661160924964606
338.txt,text,1472,huffman,0.00011134147644042969,1074,0.7296195652173914
339.txt,text,1733,huffman,0.00011134147644042969,1194,0.6889786497403346
340.txt,text,1997,huffman,0.0001251697540283203,1311,0.656484727090636
341.txt,text,1478,huffman,9.632110595703125e-05,1058,0.7158322056833559
342.txt,text,2107,huffman,0.00013947486877441406,1450,0.6881822496440436
343.txt,text,861,huffman,8.7738037109375e-05,678,0.7874564459930313
344.txt,text,2545,huffman,0.0001251697540283203,1663,0.6534381139489195
345.txt,text,2662,huffman,0.0001366138458251953,1712,0.6431254695717505
346.txt,text,4048,huffman,0.00017189979553222656,2586,0.6388339920948617
347.txt,text,1553,huffman,0.00010704994201660156,1108,0.7134578235672892
348.txt,text,3078,huffman,0.00011754035949707031,1943,0.6312540610786225
349.txt,text,2131,huffman,0.00010919570922851562,1428,0.6701079305490381
350.txt,text,1167,huffman,0.00010013580322265625,884,0.7574978577549272
351.txt,text,1267,huffman,9.679794311523438e-05,944,0.745067087608524
352.txt,text,887,huffman,8.7738037109375e-05,717,0.8083427282976324
353.txt,text,5410,huffman,0.00019598007202148438,3338,0.6170055452865064
354.txt,text,3328,huffman,0.00014472007751464844,2126,0.6388221153846154
355.txt,text,1103,huffman,6.389617919921875e-05,771,0.6990027198549411
356.txt,text,2600,huffman,0.00010943412780761719,1669,0.6419230769230769
357.txt,text,1710,huffman,9.989738464355469e-05,1185,0.6929824561403509
358.txt,text,2692,huffman,0.00013017654418945312,1760,0.6537890044576523
359.txt,text,2009,huffman,0.00010061264038085938,1323,0.6585365853658537
360.txt,text,1393,huffman,0.00010061264038085938,1008,0.7236180904522613
361.txt,text,1514,huffman,8.606910705566406e-05,1030,0.6803170409511229
362.txt,text,1517,huffman,0.00010204315185546875,1070,0.7053394858272907
363.txt,text,1582,huffman,9.942054748535156e-05,1115,0.7048040455120101
364.txt,text,1320,huffman,0.00010609626770019531,996,0.7545454545454545
365.txt,text,1174,huffman,8.106231689453125e-05,847,0.721465076660988
366.txt,text,2543,huffman,0.00013399124145507812,1713,0.6736138419189933
367.txt,text,1978,huffman,0.00011205673217773438,1362,0.6885743174924166
368.txt,text,1686,huffman,0.00010919570922851562,1185,0.702846975088968
369.txt,text,1151,huffman,0.00011658668518066406,917,0.7966985230234579
370.txt,text,1314,huffman,8.702278137207031e-05,935,0.7115677321156774
371.txt,text,1241,huffman,9.059906005859375e-05,911,0.734085414987913
372.txt,text,946,huffman,6.985664367675781e-05,702,0.7420718816067653
